album,artist,lyric,song,year
Infinite (1996),Eminem,Still in my yard when I sculpted the culprit,Tonite,1996
Infinite (1996),Eminem,"I'm going for broke, gambling and playing for keeps",It's OK,1996
Infinite (1996),Eminem,Chorus: Thyme,Open Mic,1996
Infinite (1996),Eminem,"Where they don't pull a weapon on you when you stepping on turf, Q",It's OK,1996
Infinite (1996),Eminem,Way before my baby is able to crawl,It's OK,1996
Infinite (1996),Eminem,"My destiny's to rest at ease, till I'm impressed and pleased",It's OK,1996
Infinite (1996),Eminem,I'm getting tired of everybody wanted to go first man,Open Mic,1996
Infinite (1996),Eminem,"'Cause I'm still struggling hard to be the man, and it's tough",It's OK,1996
Infinite (1996),Eminem,Who the fuck passed you the mic and said that you can flow?,Open Mic,1996
Infinite (1996),Eminem,"I'm fresh, I'm fresh",Open Mic,1996
Infinite (1996),Eminem,Till I'm glad to be buried,It's OK,1996
Infinite (1996),Eminem,Verse 1: Eminem,It's OK,1996
Infinite (1996),Eminem,"Ayo, who the fuck passed you the mic and said that you can flow?",Open Mic,1996
Infinite (1996),Eminem,"Wicked wizardry like a sorcerer, no remorse for you",Open Mic,1996
Infinite (1996),Eminem,My slick accapella sounds clever with the beats,313,1996
Infinite (1996),Eminem,"He ain't gonna make it no where, he ain't got no type of time",Jealousy Woes II,1996
Infinite (1996),Eminem,I'm Infinite,Infinite,1996
Infinite (1996),Eminem,For information and you tell your friends you plan on dumping me,Jealousy Woes II,1996
Infinite (1996),Eminem,"Now we all set to play, only thing left to say is",Searchin',1996
Infinite (1996),Eminem,Now I'm trying to repent from it,Infinite,1996
Infinite (1996),Eminem,I'm Infinite,Infinite,1996
Infinite (1996),Eminem,"This is for my family, the kid who had a cameo on my last jam",Infinite,1996
Infinite (1996),Eminem,"I'd rather let a tactical, tactful, track tickle your fancy",Infinite,1996
Infinite (1996),Eminem,Cause there's a monster will in me that always wants to kill MC's,Infinite,1996
Infinite (1996),Eminem,Man I got evidence I'm never dense and I been clever ever since,Infinite,1996
Infinite (1996),Eminem,Eye-Kyu:,It's OK,1996
Infinite (1996),Eminem,"I never gave a fuck, now I give a fuck less",Open Mic,1996
Infinite (1996),Eminem,We travel in packs and ravel in facts and gravel in cracks,Tonite,1996
Infinite (1996),Eminem,I went to it serving a sentence for murdering instruments,Infinite,1996
Infinite (1996),Eminem,Why I oughtta,Backstabber,1996
Infinite (1996),Eminem,"That eases you mentally, gently, sentimentally, instrumentally",Infinite,1996
Infinite (1996),Eminem,Thyme:,Open Mic,1996
Infinite (1996),Eminem,If you ever wanna be one see,313,1996
Infinite (1996),Eminem,For blowing up the stage with illegal contraband,Open Mic,1996
Infinite (1996),Eminem,"Imitator, Intimidator, Stimulator, Simulator of data, Eliminator",Infinite,1996
Infinite (1996),Eminem,"No matter wherever you are, you're never too far",Never 2 Far,1996
Infinite (1996),Eminem,One thought in my cerebral is deeper then a Jeep full of people,Infinite,1996
Infinite (1996),Eminem,Women Singing:,Searchin',1996
Infinite (1996),Eminem,Who the fuck passed you the mic and said that you can flow?,Open Mic,1996
Infinite (1996),Eminem,"It's a rough week, and I don't get enough sleep (I can't sleep)",It's OK,1996
Infinite (1996),Eminem,"Bust it, I let the beat commence so I can beat the sense in your elite defense",Infinite,1996
Infinite (1996),Eminem,I'm Infinite,Infinite,1996
Infinite (1996),Eminem,Hit's a snare and bass in the track fucked up rapper interrogation,Infinite,1996
Infinite (1996),Eminem,Girls voice: (Talking over the singing),Jealousy Woes II,1996
Infinite (1996),Eminem,This is the season for noise pollution contamination,Infinite,1996
Infinite (1996),Eminem,"(Scratched in) I wanna know, I wanna know",Open Mic,1996
Infinite (1996),Eminem,Twistin necks of rappers till their spinal column disconnects,Infinite,1996
Infinite (1996),Eminem,"Druggling thugs, smuggling drugs, juggling jobs, guzzling jugs",Tonite,1996
Infinite (1996),Eminem,"A brainiac in fact son, you mainly lack attraction",Infinite,1996
Infinite (1996),Eminem,For the 9-6,Infinite,1996
Infinite (1996),Eminem,Till the morning light hope that everyone's feeling all right,Tonite,1996
Infinite (1996),Eminem,"I'm anteing up double or nothing, I've been trouble enough",It's OK,1996
Infinite (1996),Eminem,'Cause we came here to do this tonight,Tonite,1996
Infinite (1996),Eminem,They're only powerful when you got your back turned,Backstabber,1996
Infinite (1996),Eminem,So throw your hands up in the atmosphere,Tonite,1996
Infinite (1996),Eminem,I'm sure the party people can agree,Tonite,1996
Infinite (1996),Eminem,I said who the fuck passed you the mic and said that you can flow?,Open Mic,1996
Infinite (1996),Eminem,I'm cruel to the liar,Tonite,1996
Infinite (1996),Eminem,It's a broke day but everything is ok (It's ok),It's OK,1996
Infinite (1996),Eminem,"I meant it as a dis, cause you don't posses the pizzazz as this",Tonite,1996
Infinite (1996),Eminem,"But in the mist of this insanity, I found my Christianity",It's OK,1996
Infinite (1996),Eminem,Of plywood,Tonite,1996
Infinite (1996),Eminem,"Ayo, who the fuck passed you the mic and said that you can flow?",Open Mic,1996
Infinite (1996),Eminem,Eminem is heading skyward,Tonite,1996
Infinite (1996),Eminem,'Cause we came here to do this tonight,Tonite,1996
Infinite (1996),Eminem,"You always rap first,",Open Mic,1996
Infinite (1996),Eminem,"Hit a bitch snake from the back, I make you think you're a best friend then",Backstabber,1996
Infinite (1996),Eminem,"It's cumbersome, I'm trying to do well on this Earth",It's OK,1996
Infinite (1996),Eminem,"He just mad 'cause he got with some ugly hoes, know what I'm saying?",Jealousy Woes II,1996
Infinite (1996),Eminem,I know this crack fiend Maxine who needs a vaccine,Maxine,1996
Infinite (1996),Eminem,Whhhooo the fuck passed you the mic and said that you can flow?,Open Mic,1996
Infinite (1996),Eminem,"Nah, I got just enough to get on the bus, I'm broke",Never 2 Far,1996
Infinite (1996),Eminem,"Look hey, we gotta make some hit records or something,",Never 2 Far,1996
Infinite (1996),Eminem,This is MC Proof,W.E.G.O. (Interlude),1996
Infinite (1996),Eminem,It's a local 313 talent,W.E.G.O. (Interlude),1996
Infinite (1996),Eminem,Checkin' in on W.E.G.O.,W.E.G.O. (Interlude),1996
Infinite (1996),Eminem,Fuck you and what you going through,Jealousy Woes II,1996
Infinite (1996),Eminem,"When this shit is in the stores, cause you can be a star",Never 2 Far,1996
Infinite (1996),Eminem,Yeah,Never 2 Far,1996
Infinite (1996),Eminem,"And you was like, **I need a new nigga** (sampled)",Jealousy Woes II,1996
