album,artist,lyric,song,year
2Pacalypse Now (1991),tupac,(Stretch),Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,Words of Wisdom,Words of Wisdom,1991
2Pacalypse Now (1991),tupac,Don't let the devil take me,Part Time Mutha,1991
2Pacalypse Now (1991),tupac,Swear that your mother is living in equality,Words of Wisdom,1991
2Pacalypse Now (1991),tupac,"Yes nigga, N-I-G-G-A niggaz",Young Black Male,1991
2Pacalypse Now (1991),tupac,You should be scared,Words of Wisdom,1991
2Pacalypse Now (1991),tupac,"Brothers, sistas, niggas",Words of Wisdom,1991
2Pacalypse Now (1991),tupac,But they didn't know this was tha wrong street,Trapped,1991
2Pacalypse Now (1991),tupac,For Four hundred plus years,Words of Wisdom,1991
2Pacalypse Now (1991),tupac,Why did ya lie to me?,Trapped,1991
2Pacalypse Now (1991),tupac,Trapped in my own community,Trapped,1991
2Pacalypse Now (1991),tupac,And blacks killin' blacks,Soulja's Story,1991
2Pacalypse Now (1991),tupac,A part time,Part Time Mutha,1991
2Pacalypse Now (1991),tupac,Homie don't play that,Trapped,1991
2Pacalypse Now (1991),tupac,Tryin' to do me like Nintendo,Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,"(Uh uh, they can't keep tha black man down)",Trapped,1991
2Pacalypse Now (1991),tupac,I couldn't find a trace of equality,Trapped,1991
2Pacalypse Now (1991),tupac,"Every day I make class, and yet I'm missing periods",Part Time Mutha,1991
2Pacalypse Now (1991),tupac,Now I'm up to no good.,Rebel of the Underground,1991
2Pacalypse Now (1991),tupac,"She's gone, and I'm thinkin' that my game's so strong",Part Time Mutha,1991
2Pacalypse Now (1991),tupac,Just because we play what tha people want...,Violent,1991
2Pacalypse Now (1991),tupac,You should be running,Words of Wisdom,1991
2Pacalypse Now (1991),tupac,"Ducked, and now he's fucked and left toothless",Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,'Cause he tried to educate and liberate all blacks,Words of Wisdom,1991
2Pacalypse Now (1991),tupac,Or the occasional pain,Rebel of the Underground,1991
2Pacalypse Now (1991),tupac,Better bring your guns pal,I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,Then watchin the hearse pass,I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,"I can't hold back, it's time to attack jack",Trapped,1991
2Pacalypse Now (1991),tupac,Trapped,Trapped,1991
2Pacalypse Now (1991),tupac,All I need is a 'G' and somewhere safe to stay,Trapped,1991
2Pacalypse Now (1991),tupac,"(Uh uh, they can't keep tha black man down)",Trapped,1991
2Pacalypse Now (1991),tupac,Now I'm trapped and want to find a getaway,Trapped,1991
2Pacalypse Now (1991),tupac,A smokin' ass nigga robbed me blind,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,Did it before,Trapped,1991
2Pacalypse Now (1991),tupac,Something wicked this way come,Something Wicked,1991
